# FIFA World Cup 2026 — knockout results so far (90-minute scores; shootout
# outcomes noted in comments). Compiled 2026-07-05. The download script /
# football-data.org API supersedes this file once configured.
date,home_team,away_team,home_score,away_score,tournament,neutral
2026-06-28,Canada,South Africa,1,0,FIFA World Cup,False
2026-06-29,Brazil,Japan,2,1,FIFA World Cup,True
2026-06-29,Germany,Paraguay,1,1,FIFA World Cup,True
2026-06-29,Netherlands,Morocco,1,1,FIFA World Cup,True
2026-06-30,Ivory Coast,Norway,1,2,FIFA World Cup,True
2026-06-30,France,Sweden,3,1,FIFA World Cup,True
2026-06-30,Mexico,Ecuador,2,0,FIFA World Cup,False
2026-07-01,England,DR Congo,2,1,FIFA World Cup,True
2026-07-01,Belgium,Senegal,3,2,FIFA World Cup,True
2026-07-01,United States,Bosnia and Herzegovina,2,0,FIFA World Cup,False
2026-07-02,Spain,Austria,3,0,FIFA World Cup,True
2026-07-02,Portugal,Croatia,2,1,FIFA World Cup,True
2026-07-02,Switzerland,Algeria,2,0,FIFA World Cup,True
2026-07-03,Egypt,Australia,1,1,FIFA World Cup,True
2026-07-03,Argentina,Cape Verde,3,2,FIFA World Cup,True
2026-07-03,Colombia,Ghana,1,0,FIFA World Cup,True
2026-07-04,Canada,Morocco,0,3,FIFA World Cup,False
2026-07-04,France,Paraguay,3,1,FIFA World Cup,True
2026-07-05,Brazil,Norway,1,2,FIFA World Cup,True
# Shootouts (match stored as 90-min draw above): Paraguay beat Germany 4-3,
# Morocco beat Netherlands 3-2, Egypt beat Australia 4-2.
