# Optional pluggable real per-team stat tendencies (per match averages).
# Used by the simulator when a team is listed; otherwise rates are modelled
# from results. Drop in real values from a stats API/CSV to ground the numbers.
# possession_bias: typical possession share in % (50 = neutral).
team,avg_shots,avg_sot,avg_corners,avg_fouls,avg_yellows,avg_offsides,possession_bias
Spain,15.5,5.4,6.8,11.0,1.6,2.3,62
Brazil,15.0,5.2,6.5,13.5,1.9,2.1,58
Argentina,14.0,4.8,5.8,14.5,2.3,2.0,55
France,14.5,5.0,6.0,12.0,1.8,2.4,55
England,14.0,4.6,6.2,10.5,1.5,1.9,57
Germany,15.5,5.3,6.6,11.5,1.6,2.2,60
Portugal,14.8,5.0,6.4,12.5,2.0,2.1,57
Netherlands,14.0,4.7,5.9,12.0,1.7,2.0,56
Italy,13.5,4.4,5.6,14.0,2.1,1.8,54
Belgium,13.8,4.6,5.7,11.5,1.7,2.0,55
Croatia,12.5,4.0,5.2,13.0,2.0,1.7,54
Uruguay,11.5,3.8,4.8,15.5,2.6,1.6,48
Morocco,11.0,3.5,4.6,14.0,2.2,1.5,47
Japan,12.0,3.9,5.0,9.5,1.3,1.7,52
